date,rules_only,rules_ml,hybrid
2022-07-07,991648.6147599998,994973.59694,899417.7963400002
2022-07-08,991648.6147599998,994973.59694,903525.6412200002
2022-07-11,991648.6147599998,994973.59694,904998.8412200002
2022-07-12,991648.6147599998,994973.59694,904110.2812200002
2022-07-13,992127.0012399998,995470.3829,904273.8412200002
2022-07-14,992169.1212399998,995514.1229,906199.4412200002
2022-07-15,991910.4212399998,995245.4728999999,908251.4812200002
2022-07-18,991921.4509599998,995127.7529,911539.5325400002
2022-07-19,992760.0809599998,993710.7929,908276.1024800001
2022-07-20,992735.5109599999,993825.8129,910588.2024800002
2022-07-21,993179.9809599998,994229.4629,912801.2124800001
2022-07-22,991985.5409599998,992706.3929,917315.3124800001
2022-07-25,990704.3956399998,992327.72276,931018.0061600001
2022-07-26,990783.9556399998,992327.72276,922529.6262600002
2022-07-27,990580.3756399998,992327.72276,932887.2262600001
2022-07-28,990511.7356399999,992327.72276,931421.5146000002
2022-07-29,990581.4286399998,992327.72276,931793.7622800003
2022-08-01,992712.5186399998,992327.72276,943325.2122800003
2022-08-02,993497.7186399999,992327.72276,944518.7622800003
2022-08-03,993390.3386399997,992327.72276,933159.9622800001
2022-08-04,992883.4686399997,992327.72276,930438.9944000002
2022-08-05,991804.2086399999,992327.72276,931111.8944000003
2022-08-08,991345.5686399998,992327.72276,923378.2620200003
2022-08-10,991375.4686399997,992327.72276,919303.8858700003
2022-08-11,991481.0286399998,992327.72276,926543.6008700003
2022-08-12,991761.1786399998,992327.72276,933590.2585100003
2022-08-16,991272.3786399998,992327.72276,941531.4785100004
2022-08-17,991353.8886399998,992327.72276,941227.6802700002
2022-08-18,990844.9386399998,992327.72276,947238.5902700003
2022-08-19,992337.5986399997,992327.72276,935359.8203100004
2022-08-22,992309.2586399998,992327.72276,916691.0427100004
2022-08-23,992646.3486399997,992327.72276,929565.2557200002
2022-08-24,993801.3986399998,992327.72276,942657.7905200003
2022-08-25,995205.0086399998,992327.72276,946799.9267600004
2022-08-26,997427.0223399998,992327.72276,956719.7114300004
2022-08-29,999891.3723399998,992327.72276,948361.9714300005
2022-08-30,1000464.1823399998,992327.72276,961448.7714300003
2022-09-01,999155.6823399998,992327.72276,964910.5015900005
2022-09-02,999127.2523399998,992327.72276,964518.1115900003
2022-09-05,999681.2123399997,992327.72276,965502.6815900004
2022-09-06,1000320.4823399998,992327.72276,966310.8225500003
2022-09-07,1001727.6323399998,992327.72276,971366.3725500004
2022-09-08,1003998.8223399997,992327.72276,966236.4940900004
2022-09-09,1004355.0223399998,992327.72276,957016.1704400005
2022-09-12,1004324.3723399998,992327.72276,968217.1360400005
2022-09-13,1006053.4623399997,992327.72276,995713.2604000005
2022-09-14,1004026.5623399997,992327.72276,988970.5504000005
2022-09-15,1001429.8023399997,992327.72276,983336.5104000005
2022-09-16,998182.0423399997,992327.72276,969736.7460000005
2022-09-19,999891.5135199998,992327.72276,962455.1014800005
2022-09-20,1002736.3135199999,992327.72276,973400.7214800005
2022-09-21,1004621.4535199997,992327.72276,970497.1603100006
2022-09-22,1003543.5335199998,992327.72276,967793.6134500005
2022-09-23,1001998.1935199997,992327.72276,941815.2392500007
2022-09-26,998606.1935199999,992327.72276,922538.1859000007
2022-09-27,997727.0735199999,992327.72276,920799.3425400006
2022-09-28,997696.7932399998,992147.21102,914328.9092600007
2022-09-29,998977.0332399998,992364.2910200001,913236.4592600007
2022-09-30,998372.1515399998,992364.8560200001,941898.3292600006
2022-10-03,995021.4996499997,989635.03362,918395.7992600008
2022-10-04,1000699.4396499997,993996.80362,942904.8492600007
2022-10-06,1003370.0020699997,996043.0774,953637.9492600007
2022-10-07,1008061.0520699997,998882.7174,963860.8092600006
2022-10-10,1004433.5207599998,996138.9447599999,958702.4892600008
2022-10-11,995218.5449599997,988672.4247599998,928019.4892600008
2022-10-12,997425.6632199998,989331.4501799998,935035.9392600007
2022-10-13,991983.6002699998,983114.03213,920108.8292600007
2022-10-14,990576.3151499996,982343.5770099998,915460.2069200007
2022-10-17,993798.6551499997,986721.2670099998,923800.1069200007
2022-10-18,1002596.7223799997,995128.8042399999,936967.2869200008
2022-10-19,998301.0123799997,991781.3642399999,932788.3169200007
2022-10-20,998482.3499399996,990525.8768799999,928930.0069200007
2022-10-21,992744.4568399996,986361.9937799999,929601.4769200006
2022-10-24,999043.2568399997,989792.2837799999,931477.7002400006
2022-10-25,999833.4980099997,992004.1137799999,927287.6802400006
2022-10-27,1001308.6380099996,993621.29378,936245.0174600007
2022-10-28,999804.6457099996,993172.06378,931959.0674600006
2022-10-31,1002105.4112299995,995281.7171699998,941592.3974600007
2022-11-01,1003791.9510299995,997226.4471699998,945972.7316800007
2022-11-02,1004248.9210299996,996319.6271699998,943758.9616800006
2022-11-03,1008045.5110299996,1000984.2271699999,943612.4782500006
2022-11-04,1009195.5210299997,1000104.8671699999,949235.6582500007
2022-11-07,1012884.5705899996,1002744.3571699997,953565.6072000007
2022-11-09,1017770.3405899996,1005084.7871699999,956756.5863600007
2022-11-10,1019925.6405899996,1006394.3771699999,950394.8663600008
2022-11-11,1012945.0999099996,999570.9964899998,954156.4163600006
2022-11-14,1007731.8899099996,996896.4164899999,948327.0439600006
2022-11-15,1007192.1019099995,995816.8764899999,945948.0039600006
2022-11-16,1003087.7619099995,992873.9964899998,945430.0539600006
2022-11-17,1002243.6082299995,991618.2850499998,950116.5444400008
2022-11-18,999234.0282299996,989398.9750499999,948136.1444400009
2022-11-21,1000795.4582299995,991010.92505,962615.7037400007
2022-11-22,1005766.6810099995,993976.8778299999,961131.2220600008
2022-11-23,1006803.0610099996,996152.68783,961579.6539200007
2022-11-24,1006859.9565699995,995820.1578299999,959870.1527200008
2022-11-25,1018023.4465699994,1003356.6578299999,973148.9216800007
2022-11-28,1024484.0165699995,1005905.2678299999,989672.2947000008
2022-11-29,1022154.7065699995,1002593.7578299999,978610.0547000007
2022-11-30,1024050.2265699995,1005302.0778299998,990940.6939400007
2022-12-01,1029116.3665699995,1008969.0478299998,994566.3039400008
2022-12-02,1037097.3665699995,1013712.69783,993367.9839400009
2022-12-05,1035897.3865699995,1014605.7778299999,994489.1239400008
2022-12-06,1036093.0365699995,1015124.7978299998,1008261.5978200007
2022-12-07,1032556.6365699995,1011516.4778299999,1003291.8678200006
2022-12-08,1036321.7265699995,1015235.9478299998,1015969.4778200007
2022-12-09,1029992.5265699995,1009810.0778299998,1005010.0634000009
2022-12-12,1031478.7665699995,1010229.5078299999,1006949.4234000008
2022-12-13,1036546.1965699994,1015140.2378299999,1015930.5776000008
2022-12-14,1038678.8265699996,1017490.1178299999,1018900.5272500009
2022-12-15,1035568.2065699995,1015198.9478299998,1012580.3372500007
2022-12-16,1028561.3372099996,1010369.46535,1006874.2587100008
2022-12-19,1028397.5272099995,1011495.96535,1018128.5787100008
2022-12-20,1026519.7172099996,1010229.3253499999,1026412.6387100008
2022-12-21,1016558.3172099995,1003243.46535,997259.9798700009
2022-12-22,1006129.7540099996,995722.45535,985735.9998700009
2022-12-23,993907.7703299995,985801.4175499999,946927.9882500008
2022-12-26,993907.7703299995,985801.4175499999,960184.1226000008
2022-12-27,993585.7771799995,985482.3402499999,966661.5226000007
2022-12-28,997488.2192099995,989349.5665399999,972684.4226000007
2022-12-29,996686.5537099997,988554.1721099999,995617.9689600008
2022-12-30,997435.3102299997,989299.3908099999,999283.2496400008
2023-01-02,999818.0417499997,991664.3042599999,1000257.5696400008
2023-01-03,998073.4059899999,989932.91615,999370.0644800008
2023-01-04,985499.8419799997,977462.02349,998504.6314800008
2023-01-05,986957.5019799997,978904.55349,998504.6314800008
2023-01-06,986866.6303199998,978813.3715699998,998504.6314800008
2023-01-09,989022.1965199998,980949.36667,998504.6314800008
2023-01-10,980880.3658799997,972869.25703,997618.1745800008
2023-01-11,984900.2158799998,976856.4870299998,995782.3745800008
2023-01-12,980004.3136999997,972000.7079099999,995231.2503400008
2023-01-13,981717.5466799997,973704.18005,1000566.2503400008
2023-01-16,980925.3266799997,972915.7400499999,994802.2503400008
2023-01-17,974759.3234899996,966969.3088499999,993860.7903400009
2023-01-18,974973.3634899997,967393.27885,998216.6903400009
2023-01-19,972824.8066199997,965705.1417,998499.6103400008
2023-01-20,970480.7766199997,964159.8617,997220.5703400009
2023-01-23,970698.9221199998,964658.796,1005168.2503400008
2023-01-24,967609.6528999996,961585.1640499999,998006.6103400008
2023-01-25,962749.0508599997,957569.5320499998,989274.2411600009
2023-01-27,959970.7174999998,954818.4908099998,978133.5860000008
2023-01-30,960221.0574999998,955066.2508099998,978625.2030400007
2023-01-31,960500.3574999998,955343.2408099998,987013.9881200008
2023-02-01,958321.6316999997,953183.8658699999,971042.6528000007
2023-02-02,957544.7516999998,952414.2658699998,961738.2892000007
2023-02-03,957417.4778399997,952288.1846699999,958436.3467200006
2023-02-06,957417.4778399997,952288.1846699999,954855.9567200006
2023-02-07,957417.4778399997,952288.1846699999,947167.0891600007
2023-02-08,957417.4778399997,952288.1846699999,947167.0891600007
2023-02-09,958601.8649199997,953465.9178899998,947167.0891600007
2023-02-10,958256.9608699997,953121.3938399998,947167.0891600007
2023-02-13,959698.4508699997,954560.4538399999,947167.0891600007
2023-02-14,958747.6908699997,953614.2138399999,947167.0891600007
2023-02-15,959199.8408699997,954062.8638399998,947167.0891600007
2023-02-16,959640.1408699998,954504.0138399998,947167.0891600007
2023-02-17,959444.7208699997,954306.8838399998,947167.0891600007
2023-02-20,959785.8808699998,954643.2238399999,947167.0891600007
2023-02-21,959799.3208699997,954653.2838399998,947167.0891600007
2023-02-22,959208.3808699998,954065.8738399998,947167.0891600007
2023-02-23,958849.4308699997,953708.1238399998,947167.0891600007
2023-02-24,958387.7708699997,953248.2838399998,947167.0891600007
2023-02-27,957650.3408699997,952511.7638399998,944831.3792800007
2023-02-28,957994.3989699997,952853.08194,945443.3192800006
2023-03-01,959519.8589699997,954369.9719399998,952825.6592800007
2023-03-02,959462.8989699997,954313.33194,952552.2392800007
2023-03-03,960036.0589699998,954883.2719399999,953333.4392800007
2023-03-06,959774.3989699997,954623.08194,958541.4392800007
2023-03-08,959737.0189699997,954585.9119399999,957096.2192800007
2023-03-09,959585.7189699998,954435.4619399998,954768.0092800006
2023-03-10,959904.2130899997,954751.98073,962216.4675200006
2023-03-13,957792.0130899998,952652.1307299999,944361.9475200006
2023-03-14,955003.9878899998,949881.1048299999,942134.3949300005
2023-03-15,956175.2278899997,951045.7648299999,935845.1964700005
2023-03-16,954777.9278899997,949656.3148299998,939074.0564700005
2023-03-17,955133.9278899997,950010.3148299998,939150.2002300005
2023-03-20,954665.7878899998,949544.8048299998,928740.4066500006
2023-03-21,955608.2938899999,950482.8635799999,933469.5966500005
2023-03-22,957076.0738899998,951940.5335799998,947059.2766500006
2023-03-23,957745.7338899998,952605.3035799998,952690.5510500006
2023-03-24,956469.8538899998,951338.6135799999,940803.8503200004
2023-03-27,956164.7938899999,951036.2135799999,928572.1995800007
2023-03-28,955004.1738899997,949883.8835799998,923188.3009400007
2023-03-29,955287.5538899999,950165.3435799999,927680.9324600007
2023-03-31,958213.8554199998,953244.1835799998,926293.0415400007
2023-04-03,959438.0254199998,953771.4335799998,932016.0415400006
2023-04-05,960908.4547899999,955953.7535799998,929344.1575400007
2023-04-06,957873.1947899997,952492.4135799998,935387.2375400008
2023-04-10,960459.6747899998,953364.1835799998,932986.3875400007
2023-04-11,961436.7700899998,953871.2403799999,932591.3475400007
2023-04-12,961252.6000899998,953826.7603799999,928584.5575400008
2023-04-13,960933.0407599998,953927.8703799999,929680.2975400008
2023-04-17,961751.4830999998,954574.1903799999,931658.0051400008
2023-04-18,956966.7830999998,952536.4403799998,938110.3151400008
2023-04-19,957332.7865299999,953419.4203799999,939646.7451400008
2023-04-20,956262.1865299998,952251.8003799999,942034.8451400008
2023-04-21,955285.4665299999,951569.10038,935547.3251400008
2023-04-24,958456.5565299998,952389.0103799999,937556.2926400008
2023-04-25,957681.6365299998,952300.6403799999,934931.1926400007
2023-04-26,958560.5836499999,952247.4470799998,933706.4619400008
2023-04-27,959939.1736499999,952758.9770799999,938416.2019400009
2023-04-28,962750.7636499999,953372.4870799999,940900.6019400008
2023-05-02,959833.7236499998,951923.1370799999,948773.3019400008
2023-05-03,961054.7836499999,952544.0670799998,946409.0619400009
2023-05-04,960716.8336499999,953079.8070799999,955642.2732400009
2023-05-05,960373.8936499999,954125.1570799998,950307.173240001
2023-05-08,961702.2178099998,954778.2470799999,959468.9132400008
2023-05-09,963867.6578099999,956602.5470799999,960426.2132400008
2023-05-10,969377.9078099999,960559.2570799999,961667.4132500009
2023-05-11,969234.6778099998,959831.6870799998,968041.0323100009
2023-05-12,969427.9578099998,957747.3070799998,971914.7823100009
2023-05-15,969696.7978099999,957146.2270799999,976210.422310001
2023-05-16,969381.6678099999,958671.5370799999,971146.752310001
2023-05-17,971965.9678099998,959197.3070799998,967815.2423100009
2023-05-18,971765.8678099999,958715.4770799999,969675.9923100008
2023-05-19,971761.1278099999,959074.7070799998,960240.4807100008
2023-05-22,971731.2978099999,958015.2170799999,964038.0367100011
2023-05-23,969453.0178099999,957296.8870799999,951928.2304600009
2023-05-24,971031.9778099998,959112.9270799998,944685.5204600008
2023-05-25,972345.18028,958891.0178899998,951454.4704600008
2023-05-26,976100.75297,961381.7197299999,957613.4104600009
2023-05-29,976328.1727299999,962347.65973,961567.7489000009
2023-05-30,974152.1414099998,959783.76981,965742.1689000009
2023-05-31,980062.1314099999,963799.0798099999,963724.1223000011
2023-06-01,982882.8814099998,966708.1898099999,974291.0954200008
2023-06-02,981012.02397,965476.5460099999,980833.733980001
2023-06-05,983846.73397,968688.84601,986594.062710001
2023-06-06,985095.59397,970394.1160099999,994612.299670001
2023-06-07,994338.8189799999,974029.7160099999,998609.8896700011
2023-06-08,989602.0600999999,974734.9060099999,989347.065700001
2023-06-09,989583.8417799999,975613.87721,999019.399140001
2023-06-12,989150.47178,975101.9072099999,1007959.809140001
2023-06-13,994433.8317799999,979907.87721,1015395.1339400009
2023-06-14,998667.49082,982129.3956099999,1013766.003940001
2023-06-15,1001818.38082,985734.9756099998,1024109.237540001
2023-06-16,1004440.7408199998,985565.9556099998,1042036.867540001
