ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
BHEL,2022-09-19,2022-09-26,59.14,56.1,3264,193225.99,0.6111,56.1,-9922.56,-10481.81,-5.42,7,stop_loss
BEL,2022-09-22,2022-09-26,104.39,100.09,1866,194986.53,0.6023,100.09,-8023.8,-8592.13,-4.41,4,stop_loss
BANKBARODA,2022-09-26,2022-09-26,118.72,113.89,998,118601.04,0.5796,113.89,-4820.34,-5166.15,-4.36,0,stop_loss
CUB,2022-09-06,2022-09-28,174.38,166.59,907,158320.82,0.629,164.59,-7065.53,-7525.89,-4.75,22,ema_reversal
COALINDIA,2022-10-03,2022-10-06,159.51,172.7,867,138433.47,0.5547,154.23,11435.73,10997.97,7.94,3,target_hit
POLYMED,2022-09-12,2022-10-07,863.24,975.17,183,158130.89,0.6219,807.28,20483.19,19968.3,12.63,25,target_hit
BANKBARODA,2022-10-03,2022-10-12,120.45,118.9,956,115265.35,0.5988,115.1,-1481.8,-1824.29,-1.58,9,ema_reversal
IDFCFIRSTB,2022-10-03,2022-10-12,49.69,54.99,2318,115296.6,0.6175,47.57,12285.4,11915.28,10.33,9,target_hit
INDHOTEL,2022-10-13,2022-10-13,329.17,316.91,434,143002.64,0.5804,316.91,-5320.84,-5738.78,-4.01,0,stop_loss
FEDERALBNK,2022-10-03,2022-10-17,117.05,129.73,984,115292.38,0.5716,111.98,12477.12,12106.63,10.5,14,target_hit
EVEREADY,2022-10-10,2022-10-17,322.07,304.34,499,160873.64,0.5499,304.34,-8847.27,-9311.71,-5.79,7,stop_loss
CANBK,2022-10-03,2022-10-20,41.21,46.09,2798,115420.89,0.5598,39.26,13654.24,13281.01,11.51,17,target_hit
METROBRAND,2022-10-25,2022-10-27,864.38,809.86,169,146226.3,0.5752,809.86,-9213.88,-9633.69,-6.59,2,stop_loss
KALYANKJIL,2022-10-13,2022-11-02,96.02,101.67,1486,142828.41,0.6451,90.17,8395.9,7951.05,5.57,20,sector_rotation
INDHOTEL,2022-10-18,2022-11-02,317.47,339.48,457,145228.87,0.5843,303.77,10058.57,9603.2,6.61,15,sector_rotation
JINDALSTEL,2022-10-03,2022-11-02,425.14,471.84,325,138308.67,0.5572,406.46,15177.5,14732.63,10.65,30,target_hit
VEDL,2022-10-18,2022-11-04,184.74,206.26,785,145165.92,0.5455,176.13,16893.2,16424.35,11.31,17,target_hit
UJJIVANSFB,2022-10-18,2022-11-07,22.1,25.47,5465,120897.28,0.6353,20.75,18417.05,18017.89,14.9,20,target_hit
PNB,2022-11-03,2022-11-09,36.98,41.73,4493,166317.29,0.5835,34.6,21341.75,20800.61,12.51,6,target_hit
AXISBANK,2022-11-07,2022-11-10,873.93,840.83,195,170586.77,0.5237,840.83,-6454.5,-6952.84,-4.08,3,stop_loss
METROPOLIS,2022-11-10,2022-11-16,397.3,375.67,437,173793.72,0.6022,375.67,-9452.31,-9954.27,-5.73,6,stop_loss
ADANIPOWER,2022-11-02,2022-11-18,70.0,67.99,2822,197737.54,0.5544,65.58,-5672.22,-6253.5,-3.16,16,ema_reversal
CHALET,2022-10-28,2022-11-18,364.6,340.5,449,163869.11,0.6335,340.5,-10820.9,-11290.37,-6.89,21,stop_loss
ARVINDFASN,2022-11-09,2022-11-23,351.89,327.54,489,172246.28,0.6326,327.54,-11907.15,-12399.56,-7.2,14,stop_loss
BHEL,2022-11-18,2022-11-25,70.01,77.29,2898,203091.87,0.5824,66.37,21097.44,20446.58,10.07,7,target_hit
GRANULES,2022-11-11,2022-11-29,358.24,352.5,484,173561.55,0.5562,341.59,-2778.16,-3292.77,-1.9,18,ema_reversal
FORTIS,2022-10-07,2022-12-01,279.69,290.17,575,160982.57,0.6041,261.43,6026.0,5531.48,3.44,55,sector_rotation
JSL,2022-11-29,2022-12-06,172.18,192.47,1205,207684.38,0.6535,162.04,24449.45,23778.12,11.45,7,target_hit
ANGELONE,2022-11-28,2022-12-08,145.37,144.94,1169,170107.47,0.5251,137.8,-502.67,-1011.48,-0.59,10,sector_rotation
BHARATFORG,2022-11-17,2022-12-14,816.78,885.43,251,205216.79,0.5332,782.45,17231.15,16581.65,8.08,27,target_hit
HINDCOPPER,2022-11-21,2022-12-20,108.3,111.05,1387,150362.31,0.5488,103.22,3814.25,3355.99,2.23,29,ema_reversal
FORCEMOT,2022-11-24,2022-12-22,1488.89,1421.59,113,168412.81,0.5701,1400.58,-7604.9,-8094.42,-4.81,28,ema_reversal
NBCC,2022-12-08,2022-12-22,26.61,25.1,6571,175029.16,0.6189,25.1,-9922.21,-10426.93,-5.96,14,stop_loss
IBREALEST,2022-12-15,2022-12-22,84.55,79.2,2136,180779.4,0.587,79.2,-11427.6,-11946.54,-6.61,7,stop_loss
BANKBARODA,2022-12-20,2022-12-22,166.16,158.87,1066,177303.69,0.6365,158.87,-7771.14,-8286.98,-4.67,2,stop_loss
CANBK,2022-12-01,2022-12-23,57.32,55.1,3026,173623.77,0.633,55.1,-6717.72,-7224.64,-4.16,22,stop_loss
PNB,2022-12-23,2022-12-23,50.54,47.05,1674,84688.56,0.6203,47.05,-5842.26,-6084.39,-7.18,0,stop_loss
