ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
NATCOPHARM,2023-09-18,2023-09-25,870.54,838.72,57,49670.4,0.4432,810.17,-1813.74,-1958.97,-3.66,7,ema_reversal
PARADEEP,2023-08-23,2023-10-10,65.85,65.62,748,49305.06,0.4423,61.56,-172.04,-319.46,-0.35,48,ema_reversal
POLYMED,2023-10-04,2023-10-12,1395.97,1375.83,36,50305.17,0.4646,1290.62,-725.04,-874.35,-1.44,8,ema_reversal
HFCL,2023-10-16,2023-10-20,74.65,70.81,623,46553.46,0.3901,69.24,-2392.32,-2527.06,-5.14,4,ema_reversal
HUDCO,2023-07-07,2023-10-25,53.44,69.99,910,48679.03,0.4492,50.31,15060.5,14884.49,30.97,110,ema_reversal
AUROPHARMA,2023-09-06,2023-10-26,849.03,851.02,58,49292.98,0.435,806.85,115.42,-32.54,0.23,50,ema_reversal
IFCI,2023-07-04,2023-11-01,12.1,21.9,3904,47285.64,0.4263,11.19,38259.2,38040.97,80.99,120,ema_reversal
JYOTHYLAB,2023-11-01,2023-11-03,356.25,355.47,135,48141.84,0.3911,326.44,-105.3,-249.37,-0.22,2,ema_reversal
UJJIVANSFB,2023-11-08,2023-11-28,56.28,52.99,920,51829.38,0.4518,51.57,-3026.8,-3176.08,-5.85,20,ema_reversal
PRESTIGE,2024-02-01,2024-02-05,1262.73,1177.51,41,51823.7,0.4513,1090.53,-3494.02,-3642.35,-6.75,4,ema_reversal
SPARC,2023-12-29,2024-02-13,270.0,343.95,184,49729.68,0.4175,248.9,13606.8,13430.55,27.39,46,ema_reversal
PNBHOUSING,2024-02-08,2024-02-13,823.8,795.94,62,51126.68,0.4512,744.88,-1727.32,-1877.09,-3.38,5,ema_reversal
SPARC,2024-02-20,2024-02-23,383.0,354.0,131,50223.17,0.4163,343.37,-3799.0,-3941.92,-7.57,3,ema_reversal
IFCI,2023-11-06,2024-02-26,23.8,46.85,2146,51125.87,0.4418,20.89,49465.3,49213.15,96.85,112,ema_reversal
ENGINERSIN,2024-02-20,2024-02-27,222.7,207.7,241,53724.37,0.4772,195.39,-3615.0,-3768.78,-6.74,7,ema_reversal
SEQUENT,2024-02-15,2024-03-01,135.0,129.25,363,49054.0,0.3968,119.62,-2087.25,-2230.09,-4.26,15,ema_reversal
GPPL,2024-03-18,2024-03-20,186.1,175.16,277,51601.25,0.4139,161.88,-3030.38,-3178.97,-5.88,2,ema_reversal
NCC,2024-03-28,2024-05-02,236.73,239.24,216,51184.81,0.4052,206.56,542.16,387.67,1.06,35,ema_reversal
CANBK,2024-03-26,2024-05-09,107.52,105.83,480,51661.21,0.4189,100.4,-811.2,-964.41,-1.57,44,ema_reversal
SAIL,2024-07-09,2024-07-15,154.15,147.98,328,50611.76,0.4005,142.08,-2023.76,-2171.4,-4.0,6,ema_reversal
ORIENTELEC,2024-08-09,2024-08-16,273.74,261.42,188,51514.58,0.4191,251.29,-2316.16,-2465.92,-4.5,7,ema_reversal
PARADEEP,2024-08-13,2024-08-16,88.56,85.41,596,52834.54,0.4374,79.44,-1877.4,-2031.99,-3.56,3,ema_reversal
PARADEEP,2024-08-22,2024-09-02,87.49,82.83,587,51407.99,0.4192,79.65,-2735.42,-2884.02,-5.33,11,ema_reversal
MOTHERSON,2024-08-23,2024-09-10,128.41,124.77,411,52829.29,0.4418,119.66,-1496.04,-1651.38,-2.83,18,ema_reversal
INDIACEM,2024-10-04,2024-10-07,365.6,363.05,139,50869.22,0.415,351.86,-354.45,-506.2,-0.7,3,ema_reversal
HINDPETRO,2024-09-25,2024-10-07,402.3,377.74,128,51545.89,0.4299,377.74,-3143.68,-3291.88,-6.1,12,stop_loss
SHILPAMED,2024-10-11,2024-10-24,429.98,405.68,119,51218.79,0.4245,386.77,-2891.7,-3039.42,-5.65,13,ema_reversal
PCJEWELLER,2024-10-31,2024-11-01,16.1,15.8,3169,51071.92,0.4181,14.22,-950.7,-1101.86,-1.86,1,ema_reversal
BALRAMCHIN,2024-10-30,2024-11-05,631.49,595.97,81,51201.84,0.4258,587.29,-2877.12,-3024.82,-5.62,6,ema_reversal
JMFINANCIL,2024-11-08,2024-11-13,145.2,131.22,348,50580.13,0.4176,129.73,-4865.04,-5006.9,-9.63,5,ema_reversal
WELENT,2025-01-30,2025-02-04,626.66,567.24,81,50810.22,0.4247,567.24,-4813.02,-4955.67,-9.48,5,stop_loss
RBA,2025-06-12,2025-06-13,80.71,79.8,612,49443.91,0.4047,75.85,-556.92,-703.99,-1.13,1,ema_reversal
NETWORK18,2025-08-05,2025-08-08,59.33,56.55,856,50837.27,0.4302,54.35,-2379.68,-2527.28,-4.69,3,ema_reversal
LEMONTREE,2025-10-06,2025-10-09,174.18,166.5,296,51608.84,0.4479,163.9,-2273.28,-2423.41,-4.41,3,ema_reversal
GPPL,2026-01-07,2026-01-12,189.9,179.42,272,51704.45,0.453,179.42,-2850.56,-2999.82,-5.52,5,stop_loss
EQUITASBNK,2026-02-11,2026-02-24,69.0,66.01,724,50005.96,0.4222,64.05,-2164.76,-2310.3,-4.33,13,ema_reversal
