Ticker,Total_Rows,Feature_Rows,NaN_target_rows,Any_warnings,Status
POLYCAB,1236,1176,10,,OK
POWERGRID,1236,1176,10,,OK
PVRINOX,816,756,10,,OK
RAMCOCEM,1235,1175,10,,OK
RECLTD,1236,1176,10,,OK
RELIANCE,1236,1176,10,,OK
SAIL,1236,1176,10,,OK
SBICARD,1236,1176,10,,OK
SBILIFE,1236,1176,10,,OK
SBIN,1236,1176,10,,OK
SHREECEM,1236,1176,10,,OK
SIEMENS,1235,1175,10,,OK
SRF,1236,1176,10,,OK
SUNPHARMA,1236,1176,10,,OK
SUNTV,1236,1176,10,,OK
SUPREMEIND,1236,1176,10,,OK
TATACOMM,1236,1176,10,,OK
TATACONSUMER,0,0,0,no raw data,ERROR
TATAELXSI,1236,1176,10,,OK
TATAPOWER,1236,1176,10,,OK
TATASTEEL,1236,1176,10,,OK
TCS,1236,1176,10,,OK
TECHM,1236,1176,10,,OK
TITAN,1236,1176,10,,OK
TORNTPHARM,1236,1176,10,,OK
TORNTPOWER,1236,1176,10,,OK
TRENT,1236,1176,10,,OK
TVSMOTOR,1236,1176,10,,OK
UBL,1236,1176,10,,OK
ULTRACEMCO,1236,1176,10,,OK
UNIONBANK,1236,1176,10,,OK
UPL,1236,1176,10,,OK
VEDL,1236,1176,10,,OK
VOLTAS,1236,1176,10,,OK
WHIRLPOOL,1236,1176,10,,OK
WIPRO,1236,1176,10,,OK
ZEEL,1236,1176,10,,OK
ZOMATO,0,0,0,no raw data,ERROR
ZYDUSLIFE,1236,1176,10,,OK
ABBOTINDIA,1236,1176,10,,OK
ABIRLANUVO,0,0,0,no raw data,ERROR
ACC,1236,1176,10,,OK
AFFLE,1236,1176,10,,OK
AJANTPHARM,1235,1175,10,,OK
ALKEM,1235,1175,10,,OK
ALKYLAMINE,1236,1176,10,,OK
ALOKINDS,1236,1176,10,,OK
AMBUJACEM,1236,1176,10,,OK
ANGELONE,1236,1176,10,,OK
APLAPOLLO,1236,1176,10,,OK
APTUS,1137,1077,10,,OK
ARVINDFASN,1236,1176,10,,OK
ATUL,1236,1176,10,,OK
AUBANK,1236,1176,10,,OK
AUROPHARMA,1235,1175,10,,OK
AVALON,729,669,10,,OK
AVANTIFEED,1235,1175,10,,OK
AXISCADES,1236,1176,10,,OK
BALRAMCHIN,1236,1176,10,,OK
BALUARTE,0,0,0,no raw data,ERROR
BANDHANBNK,1236,1176,10,,OK
BATAINDIA,1236,1176,10,,OK
BAYERCROP,1236,1176,10,,OK
BERGEPAINT,1236,1176,10,,OK
BIKAJI,832,772,10,,OK
BLUESTARCO,1236,1176,10,,OK
BRIGADE,1236,1176,10,,OK
CANFINHOME,1236,1176,10,,OK
CARBORUNIV,1235,1175,10,,OK
CASTROLIND,1236,1176,10,,OK
CEATLTD,1236,1176,10,,OK
CENTURYTEX,0,0,0,no raw data,ERROR
CERA,1235,1175,10,,OK
CHALET,1236,1176,10,,OK
CHAMBLFERT,1236,1176,10,,OK
CLEAN,1161,1101,10,,OK
COFORGE,1236,1176,10,,OK
CRISIL,1236,1176,10,,OK
DALBHARAT,1236,1176,10,,OK
DATAPATTNS,1053,993,10,,OK
DEEPAKNTR,1236,1176,10,,OK
DELTACORP,1236,1176,10,,OK
DHANUKA,1235,1175,10,,OK
DIXON,1236,1176,10,,OK
DMART,1236,1176,10,,OK
EASEMYTRIP,1236,1176,10,,OK
ECLERX,1236,1176,10,,OK
EIDPARRY,1236,1176,10,,OK
ELGIEQUIP,1236,1176,10,,OK
EMAMILTD,1236,1176,10,,OK
ENDURANCE,1236,1176,10,,OK
