ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
GHCL,2024-12-20,2025-01-24,668.01,715.98,366,244736.15,0.6478,633.12,17557.02,16788.43,6.86,35,sector_rotation
INTELLECT,2025-01-09,2025-01-24,921.58,897.72,259,238927.91,0.5618,834.71,-6179.74,-6883.45,-2.88,15,ema_reversal
IFCI,2025-01-21,2025-01-24,58.25,53.84,3993,232824.84,0.5915,53.84,-17609.13,-18271.69,-7.85,3,stop_loss
PERSISTENT,2025-01-23,2025-01-24,5734.79,6425.77,38,218139.94,0.5264,5389.3,26257.24,25550.96,11.71,1,target_hit
NAUKRI,2025-01-15,2025-01-27,1490.19,1404.47,152,226735.39,0.5956,1404.47,-13029.44,-13682.91,-6.03,12,stop_loss
AVALON,2025-01-23,2025-01-27,735.3,655.8,278,204617.81,0.7515,655.8,-22101.0,-22670.04,-11.08,4,stop_loss
NEWGEN,2025-01-24,2025-01-27,1228.98,1077.22,148,182070.93,0.6863,1077.22,-22460.48,-22961.23,-12.61,3,stop_loss
COFORGE,2025-01-24,2025-01-28,1799.16,1697.75,125,225119.9,0.5456,1697.75,-12676.25,-13325.58,-5.92,4,stop_loss
FEDERALBNK,2025-01-28,2025-01-28,186.77,179.29,1157,216308.98,0.5239,179.29,-8654.36,-9285.33,-4.29,0,stop_loss
MAXHEALTH,2025-01-29,2025-02-03,1009.83,1136.49,209,211265.52,0.5248,946.5,26471.94,25785.83,12.21,5,target_hit
LAURUSLABS,2025-01-28,2025-02-05,534.53,613.61,404,216166.07,0.6002,494.99,31948.32,31236.57,14.45,8,target_hit
KIMS,2025-01-28,2025-02-05,585.25,649.53,369,216173.21,0.5588,553.11,23719.32,23024.01,10.65,8,target_hit
VBL,2025-02-04,2025-02-07,581.99,550.64,378,220212.21,0.5548,550.64,-11850.3,-12486.58,-5.67,3,stop_loss
NATIONALUM,2025-02-06,2025-02-11,188.99,177.17,1212,229284.94,0.5427,177.17,-14325.84,-14984.36,-6.54,5,stop_loss
KFINTECH,2025-01-24,2025-02-12,1137.38,1017.83,189,215179.78,0.7131,1017.83,-22594.95,-23194.65,-10.78,19,stop_loss
EQUITASBNK,2025-01-30,2025-02-13,67.26,64.37,3186,214504.65,0.5961,63.09,-9207.54,-9832.0,-4.58,14,ema_reversal
AFFLE,2025-02-06,2025-02-13,1618.05,1527.8,141,228373.2,0.5242,1519.42,-12725.25,-13384.23,-5.86,7,ema_reversal
FEDERALBNK,2025-02-10,2025-02-12,187.71,180.11,1226,230362.59,0.531,180.11,-9317.6,-9989.36,-4.34,2,stop_loss
INDUSTOWER,2025-01-28,2025-02-17,352.0,334.25,615,216696.48,0.5925,331.46,-10916.25,-11543.86,-5.33,20,ema_reversal
MANAPPURAM,2025-02-14,2025-02-17,185.66,182.7,1158,215209.27,0.5316,173.5,-3427.68,-4065.81,-1.89,3,ema_reversal
SRF,2025-02-13,2025-02-17,2847.01,2714.12,74,210889.42,0.5307,2714.12,-9833.86,-10446.23,-4.95,4,stop_loss
JUBLFOOD,2025-02-13,2025-02-25,638.89,676.82,334,213602.65,0.5734,593.86,12668.62,12003.11,5.62,12,ema_reversal
NAVINFLUOR,2025-02-13,2025-02-24,4139.61,3920.97,51,211331.23,0.5202,3920.97,-11150.64,-11761.7,-5.57,11,stop_loss
CHAMBLFERT,2025-02-17,2025-03-06,514.52,572.38,411,211679.19,0.558,485.59,23780.46,23098.5,10.91,17,target_hit
NAVINFLUOR,2025-02-28,2025-03-10,3764.25,4207.57,57,214776.81,0.5348,3542.59,25269.24,24575.01,11.44,10,target_hit
NATIONALUM,2025-02-20,2025-03-18,178.54,177.92,1210,216249.43,0.5613,166.18,-750.2,-1396.8,-0.65,26,ema_reversal
BAJFINANCE,2025-02-12,2025-03-19,809.97,878.85,266,215667.47,0.5236,775.53,18322.08,17639.08,8.18,35,target_hit
MANAPPURAM,2025-02-18,2025-03-21,189.25,218.59,1129,213876.91,0.5749,174.58,33124.86,32417.62,15.16,31,target_hit
FEDERALBNK,2025-03-07,2025-03-24,180.25,194.77,1222,220485.77,0.5224,172.99,17743.44,17047.16,7.73,17,target_hit
KIMS,2025-03-13,2025-03-24,553.0,624.95,398,220314.09,0.6028,517.02,28636.1,27918.55,12.67,11,target_hit
CASTROLIND,2025-03-20,2025-03-26,210.32,195.91,1081,227583.28,0.5796,195.91,-15577.21,-16228.12,-7.13,6,stop_loss
CUB,2025-03-18,2025-03-27,151.62,143.37,1471,223256.05,0.545,143.37,-12135.75,-12780.58,-5.72,9,stop_loss
BIOCON,2025-03-07,2025-04-08,335.35,311.63,658,220880.96,0.5601,314.68,-15607.76,-16238.53,-7.35,32,ema_reversal
PCJEWELLER,2025-03-28,2025-04-07,13.72,12.67,16617,228213.23,0.6255,12.67,-17447.85,-18096.91,-7.93,10,stop_loss
GODREJIND,2025-04-01,2025-04-08,1117.0,1079.9,202,225859.63,0.5524,1052.54,-7494.2,-8156.11,-3.61,7,ema_reversal
NLCINDIA,2025-04-01,2025-04-07,240.09,226.59,942,226390.94,0.5795,226.59,-12717.0,-13370.06,-5.91,6,stop_loss
