date,rules_only,rules_ml,hybrid
2022-11-17,1002243.6082299995,1138450.5899999996,1138450.5899999996
2022-11-18,999234.0282299996,1120906.7199999995,1120906.7199999995
2022-11-21,1000795.4582299996,1120906.7199999995,1120906.7199999995
2022-11-22,1005766.6810099996,1120906.7199999995,1120906.7199999995
2022-11-23,1006803.0610099996,1108507.1599999997,1108507.1599999997
2022-11-24,1006859.9565699996,1108507.1599999997,1108507.1599999997
2022-11-25,1018023.4465699994,1128953.7399999995,1128953.7399999995
2022-11-28,1024484.0165699996,1128953.7399999995,1128953.7399999995
2022-11-29,1022154.7065699996,1125660.9699999995,1125660.9699999995
2022-11-30,1024050.2265699996,1125660.9699999995,1125660.9699999995
2022-12-01,1029116.3665699996,1131192.4499999995,1131192.4499999995
2022-12-02,1037097.3665699996,1131192.4499999995,1131192.4499999995
2022-12-05,1035897.3865699996,1131192.4499999995,1131192.4499999995
2022-12-06,1036093.0365699996,1154970.5699999996,1154970.5699999996
2022-12-07,1032556.6365699996,1154970.5699999996,1154970.5699999996
2022-12-08,1036321.7265699996,1153959.0899999996,1153959.0899999996
2022-12-09,1029992.5265699996,1153959.0899999996,1153959.0899999996
2022-12-12,1031478.7665699996,1153959.0899999996,1153959.0899999996
2022-12-13,1036546.1965699994,1153959.0899999996,1153959.0899999996
2022-12-14,1038678.8265699996,1170540.7399999995,1170540.7399999995
2022-12-15,1035568.2065699996,1170540.7399999995,1170540.7399999995
2022-12-16,1028561.3372099996,1170540.7399999995,1170540.7399999995
2022-12-19,1028397.5272099996,1170540.7399999995,1170540.7399999995
2022-12-20,1026519.7172099996,1173896.7299999995,1173896.7299999995
2022-12-21,1016558.3172099995,1173896.7299999995,1173896.7299999995
2022-12-22,1006129.7540099996,1135141.8599999994,1135141.8599999994
2022-12-23,993907.7703299996,1121832.8299999994,1121832.8299999994
2022-12-26,993907.7703299996,1121832.8299999994,1121832.8299999994
2022-12-27,993585.7771799996,1121832.8299999994,1121832.8299999994
2022-12-28,997488.2192099995,1118158.9699999993,1118158.9699999993
2022-12-29,996686.5537099997,1148424.2299999993,1148424.2299999993
2022-12-30,997435.3102299996,1148424.2299999993,1148424.2299999993
2023-01-02,999818.0417499996,1148424.2299999993,1148424.2299999993
2023-01-03,998073.40599,1148424.2299999993,1148424.2299999993
2023-01-04,985499.8419799996,1148424.2299999993,1148424.2299999993
2023-01-05,986957.5019799996,1148424.2299999993,1148424.2299999993
2023-01-06,986866.6303199998,1148424.2299999993,1148424.2299999993
2023-01-09,989022.1965199998,1148424.2299999993,1148424.2299999993
2023-01-10,980880.3658799996,1148424.2299999993,1148424.2299999993
2023-01-11,984900.2158799998,1148424.2299999993,1148424.2299999993
2023-01-12,980004.3136999996,1148424.2299999993,1148424.2299999993
2023-01-13,981717.5466799996,1148424.2299999993,1148424.2299999993
2023-01-16,980925.3266799996,1148424.2299999993,1148424.2299999993
2023-01-17,974759.3234899996,1148424.2299999993,1148424.2299999993
2023-01-18,974973.3634899996,1148424.2299999993,1148424.2299999993
2023-01-19,972824.8066199996,1148424.2299999993,1148424.2299999993
2023-01-20,970480.7766199996,1148424.2299999993,1148424.2299999993
2023-01-23,970698.9221199998,1144010.8399999994,1144010.8399999994
2023-01-24,967609.6528999996,1144010.8399999994,1144010.8399999994
2023-01-25,962749.0508599996,1125347.7299999993,1125347.7299999993
2023-01-26,1000000.0,1125347.7299999993,1125347.7299999993
2023-01-27,959970.7174999998,1106168.029999999,1106168.029999999
2023-01-30,960221.0574999998,1106168.029999999,1106168.029999999
2023-01-31,960500.3574999998,1106168.029999999,1106168.029999999
2023-02-01,958321.6316999996,1106168.029999999,1106168.029999999
2023-02-02,957544.7516999998,1106168.029999999,1106168.029999999
2023-02-03,957417.4778399996,1106168.029999999,1106168.029999999
2023-02-06,957417.4778399996,1106168.029999999,1106168.029999999
2023-02-07,957417.4778399996,1106168.029999999,1106168.029999999
2023-02-08,957417.4778399996,1106168.029999999,1106168.029999999
2023-02-09,958601.8649199996,1106168.029999999,1106168.029999999
2023-02-10,958256.9608699996,1106168.029999999,1106168.029999999
2023-02-13,959698.4508699996,1106168.029999999,1106168.029999999
2023-02-14,958747.6908699996,1106168.029999999,1106168.029999999
2023-02-15,959199.8408699996,1106168.029999999,1106168.029999999
2023-02-16,959640.1408699998,1106168.029999999,1106168.029999999
2023-02-17,959444.7208699996,1106168.029999999,1106168.029999999
2023-02-20,959785.8808699998,1106168.029999999,1106168.029999999
2023-02-21,959799.3208699996,1127461.769999999,1127461.769999999
2023-02-22,959208.3808699998,1127461.769999999,1127461.769999999
2023-02-23,958849.4308699996,1127461.769999999,1127461.769999999
2023-02-24,958387.7708699995,1127461.769999999,1127461.769999999
2023-02-27,957650.3408699996,1127461.769999999,1127461.769999999
2023-02-28,957994.3989699996,1127461.769999999,1127461.769999999
2023-03-01,959519.8589699996,1127461.769999999,1127461.769999999
2023-03-02,959462.8989699996,1127461.769999999,1127461.769999999
2023-03-03,960036.0589699998,1127461.769999999,1127461.769999999
2023-03-06,959774.3989699996,1127461.769999999,1127461.769999999
2023-03-07,1000000.0,1127461.769999999,1127461.769999999
2023-03-08,959737.0189699996,1127461.769999999,1127461.769999999
2023-03-09,959585.7189699998,1127461.769999999,1127461.769999999
2023-03-10,959904.2130899996,1127461.769999999,1127461.769999999
2023-03-13,957792.0130899998,1127461.769999999,1127461.769999999
2023-03-14,955003.9878899998,1120107.3199999994,1120107.3199999994
2023-03-15,956175.2278899996,1120107.3199999994,1120107.3199999994
2023-03-16,954777.9278899996,1120107.3199999994,1120107.3199999994
2023-03-17,955133.9278899996,1120107.3199999994,1120107.3199999994
2023-03-20,954665.7878899998,1120107.3199999994,1120107.3199999994
2023-03-21,955608.29389,1120107.3199999994,1120107.3199999994
2023-03-22,957076.0738899998,1120107.3199999994,1120107.3199999994
2023-03-23,957745.7338899998,1120107.3199999994,1120107.3199999994
2023-03-24,956469.8538899998,1120107.3199999994,1120107.3199999994
2023-03-27,956164.79389,1120107.3199999994,1120107.3199999994
2023-03-28,955004.1738899996,1120107.3199999994,1120107.3199999994
2023-03-29,955287.55389,1120107.3199999994,1120107.3199999994
2023-03-30,1000000.0,1120107.3199999994,1120107.3199999994
2023-03-31,958213.8554199998,1120107.3199999994,1120107.3199999994
2023-04-03,959438.0254199998,1120107.3199999994,1120107.3199999994
2023-04-04,1000000.0,1120107.3199999994,1120107.3199999994
2023-04-05,960908.45479,1120107.3199999994,1120107.3199999994
2023-04-06,957873.1947899996,1120107.3199999994,1120107.3199999994
2023-04-07,1000000.0,1120107.3199999994,1120107.3199999994
2023-04-10,960459.6747899998,1120107.3199999994,1120107.3199999994
2023-04-11,961436.7700899998,1120107.3199999994,1120107.3199999994
2023-04-12,961252.6000899998,1120107.3199999994,1120107.3199999994
2023-04-13,960933.0407599998,1120107.3199999994,1120107.3199999994
2023-04-14,1000000.0,1120107.3199999994,1120107.3199999994
2023-04-17,961751.4830999998,1120107.3199999994,1120107.3199999994
2023-04-18,956966.7830999998,1120107.3199999994,1120107.3199999994
2023-04-19,957332.78653,1120107.3199999994,1120107.3199999994
2023-04-20,956262.1865299998,1120107.3199999994,1120107.3199999994
2023-04-21,955285.46653,1120107.3199999994,1120107.3199999994
2023-04-24,958456.5565299998,1120107.3199999994,1120107.3199999994
2023-04-25,957681.6365299998,1120107.3199999994,1120107.3199999994
2023-04-26,958560.58365,1114800.1099999994,1114800.1099999994
2023-04-27,959939.17365,1114800.1099999994,1114800.1099999994
2023-04-28,962750.76365,1114800.1099999994,1114800.1099999994
2023-05-01,1000000.0,1114800.1099999994,1114800.1099999994
2023-05-02,959833.7236499998,1114800.1099999994,1114800.1099999994
2023-05-03,961054.78365,1114800.1099999994,1114800.1099999994
2023-05-04,960716.83365,1147493.5699999994,1147493.5699999994
2023-05-05,960373.89365,1147493.5699999994,1147493.5699999994
2023-05-08,961702.2178099998,1176841.8299999994,1176841.8299999994
2023-05-09,963867.65781,1176841.8299999994,1176841.8299999994
2023-05-10,969377.90781,1166588.019999999,1166588.019999999
2023-05-11,969234.6778099998,1166588.019999999,1166588.019999999
2023-05-12,969427.9578099998,1166588.019999999,1166588.019999999
2023-05-15,969696.79781,1170778.4299999992,1170778.4299999992
2023-05-16,969381.66781,1170778.4299999992,1170778.4299999992
2023-05-17,971965.9678099998,1193768.6599999992,1193768.6599999992
2023-05-18,971765.86781,1193768.6599999992,1193768.6599999992
2023-05-19,971761.12781,1179232.5599999991,1179232.5599999991
2023-05-22,971731.29781,1170316.739999999,1170316.739999999
2023-05-23,969453.01781,1170316.739999999,1170316.739999999
2023-05-24,971031.9778099998,1170316.739999999,1170316.739999999
2023-05-25,972345.18028,1186031.919999999,1186031.919999999
2023-05-26,976100.75297,1186031.919999999,1186031.919999999
2023-05-29,976328.17273,1177356.459999999,1177356.459999999
2023-05-30,974152.1414099998,1190846.639999999,1190846.639999999
2023-05-31,980062.13141,1179872.429999999,1179872.429999999
2023-06-01,982882.8814099998,1179872.429999999,1179872.429999999
2023-06-02,981012.02397,1179872.429999999,1179872.429999999
2023-06-05,983846.73397,1179872.429999999,1179872.429999999
2023-06-06,985095.59397,1179872.429999999,1179872.429999999
2023-06-07,994338.81898,1179872.429999999,1179872.429999999
2023-06-08,989602.0601,1179872.429999999,1179872.429999999
2023-06-09,989583.84178,1179872.429999999,1179872.429999999
2023-06-12,989150.47178,1179872.429999999,1179872.429999999
2023-06-13,994433.83178,1179872.429999999,1179872.429999999
2023-06-14,998667.49082,1179872.429999999,1179872.429999999
2023-06-15,1001818.38082,1179872.429999999,1179872.429999999
2023-06-16,1004440.7408199998,1200325.849999999,1200325.849999999
2023-06-19,1005732.53688,1221866.379999999,1221866.379999999
2023-06-20,1014319.41688,1221866.379999999,1221866.379999999
2023-06-21,1011981.12688,1248870.909999999,1248870.909999999
2023-06-22,1006689.19034,1248870.909999999,1248870.909999999
2023-06-23,999297.55334,1214691.939999999,1214691.939999999
2023-06-26,1006885.92334,1217202.639999999,1217202.639999999
2023-06-27,1010363.83334,1217202.639999999,1217202.639999999
2023-06-28,1018486.65334,1217202.639999999,1217202.639999999
2023-06-29,1000000.0,1217202.639999999,1217202.639999999
2023-06-30,1025633.32726,1217202.639999999,1217202.639999999
2023-07-03,1026142.3592599998,1217202.639999999,1217202.639999999
2023-07-04,1029385.94926,1217202.639999999,1217202.639999999
2023-07-05,1034225.11805,1217202.639999999,1217202.639999999
2023-07-06,1025118.29215,1236286.759999999,1236286.759999999
2023-07-07,1024637.0121499998,1236286.759999999,1236286.759999999
2023-07-10,1027504.31215,1237730.0599999991,1237730.0599999991
2023-07-11,1031130.41215,1237476.209999999,1237476.209999999
2023-07-12,1036724.2521499998,1237476.209999999,1237476.209999999
2023-07-13,1029143.51238,1226407.089999999,1226407.089999999
2023-07-14,1037005.46741,1226407.089999999,1226407.089999999
2023-07-17,1042075.12006,1226407.089999999,1226407.089999999
2023-07-18,1029161.17006,1226407.089999999,1226407.089999999
