ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
POWERMECH,2023-12-12,2023-12-20,2099.07,1999.26,82,172295.86,0.5221,1999.26,-8184.42,-8684.42,-4.75,8,stop_loss
JSWENERGY,2023-12-19,2023-12-20,432.41,405.65,401,173569.81,0.6092,405.65,-10730.76,-11229.49,-6.19,1,stop_loss
AUROPHARMA,2023-12-12,2023-12-21,999.8,1077.76,172,172137.57,0.5265,960.82,13409.12,12866.4,7.8,9,target_hit
HINDPETRO,2023-12-12,2023-12-28,219.23,246.55,788,172925.99,0.671,205.57,21528.16,20966.84,12.46,16,target_hit
BHEL,2023-12-21,2023-12-28,168.45,190.37,1003,169124.31,0.6851,157.49,21985.76,21434.92,13.01,7,target_hit
MOTILALOFS,2023-11-23,2024-01-02,1106.47,307.61,156,172781.93,0.619,1023.32,-124622.16,-124890.74,-72.2,40,ema_reversal
PRESTIGE,2023-12-18,2024-01-04,1130.51,1322.33,153,173141.0,0.664,1034.6,29348.46,28770.86,16.97,17,target_hit
CONCOR,2023-12-21,2024-01-04,795.31,862.27,213,169570.43,0.5481,761.83,14262.48,13725.75,8.42,14,target_hit
WIPRO,2024-01-04,2024-01-15,213.74,231.3,758,162176.93,0.6043,204.96,13310.48,12797.81,8.22,11,target_hit
CANBK,2023-12-22,2024-01-16,81.77,88.41,2117,173280.2,0.5877,78.45,14056.88,13509.44,8.12,25,target_hit
HINDALCO,2024-01-05,2024-01-16,582.96,562.18,281,163975.57,0.6232,562.18,-5839.18,-6318.94,-3.56,11,stop_loss
SONACOMS,2024-01-11,2024-01-16,608.58,579.08,266,162044.16,0.5653,579.08,-7847.0,-8316.95,-4.85,5,stop_loss
NMDC,2024-01-11,2024-01-18,63.47,60.29,2559,162582.15,0.6006,60.29,-8137.62,-8608.6,-5.01,7,stop_loss
ADANIENSOL,2024-01-17,2024-01-19,1124.95,1047.91,145,163280.87,0.5648,1047.91,-11170.8,-11637.81,-6.85,2,stop_loss
KALYANKJIL,2024-01-17,2024-01-23,363.42,341.76,450,163702.54,0.6371,341.76,-9747.0,-10218.12,-5.96,6,stop_loss
SPANDANA,2024-01-17,2024-01-23,1157.8,1092.24,141,163413.05,0.578,1092.24,-9243.96,-9715.22,-5.66,6,stop_loss
NTPC,2024-01-23,2024-01-23,295.92,283.77,544,161141.46,0.5359,283.77,-6609.6,-7079.32,-4.11,0,stop_loss
PFC,2024-01-24,2024-01-30,363.2,410.52,428,155605.05,0.6082,339.54,20252.96,19746.11,13.03,6,target_hit
SUZLON,2024-01-17,2024-02-01,41.5,46.96,3948,164005.84,0.6126,38.77,21556.08,21021.44,13.16,15,target_hit
NLCINDIA,2024-01-04,2024-02-02,222.79,260.45,727,162130.3,0.7003,203.96,27378.82,26838.16,16.9,29,target_hit
ADANIPORTS,2024-01-19,2024-02-02,1151.68,1254.92,119,137186.97,0.6335,1100.06,12285.56,11849.84,8.96,14,target_hit
HDFCAMC,2024-01-24,2024-02-07,1617.21,1758.81,96,155407.41,0.5455,1546.41,13593.6,13100.66,8.76,14,target_hit
GSFC,2024-02-07,2024-02-09,257.22,249.3,674,173539.65,0.6021,235.84,-5338.08,-5847.5,-3.08,2,ema_reversal
IRCTC,2024-01-24,2024-02-14,915.97,890.67,170,155870.61,0.564,858.51,-4301.0,-4759.54,-2.76,21,ema_reversal
INDUSTOWER,2024-02-02,2024-02-13,221.35,207.37,764,169280.51,0.5801,207.37,-10680.72,-11166.69,-6.32,11,stop_loss
HFCL,2024-02-06,2024-02-13,98.59,90.09,1730,170731.26,0.6149,90.09,-14705.0,-15187.27,-8.62,7,stop_loss
NMDC,2024-02-14,2024-02-15,67.34,75.16,2484,167439.83,0.5927,63.43,19424.88,18884.21,11.61,1,target_hit
GPPL,2024-02-14,2024-02-16,155.55,178.87,1076,167539.17,0.6312,143.89,25092.32,24540.02,14.99,2,target_hit
FORCEMOT,2024-02-16,2024-02-19,5004.9,5443.84,35,175346.67,0.5974,4785.43,15362.9,14806.66,8.77,3,target_hit
EQUITASBNK,2024-02-19,2024-02-21,107.03,101.28,1669,178811.7,0.6071,101.28,-9596.75,-10113.46,-5.37,2,stop_loss
WABAG,2024-01-31,2024-02-26,677.26,755.96,244,165416.69,0.6096,637.91,19202.8,18668.64,11.62,26,target_hit
FORTIS,2024-02-14,2024-02-29,432.6,415.9,387,167583.62,0.5684,412.52,-6462.9,-6952.22,-3.86,15,ema_reversal
KALYANKJIL,2024-02-09,2024-03-04,355.31,407.95,491,174631.67,0.603,328.99,25846.24,25271.18,14.82,24,target_hit
VBL,2024-03-05,2024-03-05,575.38,547.71,317,182577.86,0.596,547.71,-8771.39,-9301.03,-4.81,0,stop_loss
TRENT,2024-02-08,2024-03-11,3729.56,4137.6,46,171731.32,0.5317,3525.54,18769.84,18217.62,10.94,32,target_hit
TORNTPOWER,2024-02-27,2024-03-11,1089.21,1246.83,163,177718.77,0.588,1010.4,25692.06,25108.05,14.47,13,target_hit
FORCEMOT,2024-03-07,2024-03-11,5892.81,6825.43,30,176961.08,0.5387,5426.5,27978.6,27392.29,15.83,4,target_hit
COALINDIA,2024-02-22,2024-03-13,385.1,361.96,459,176937.66,0.632,361.96,-10621.26,-11130.3,-6.01,20,stop_loss
CANBK,2024-03-01,2024-03-13,107.15,101.68,1645,176438.01,0.5977,101.68,-8998.15,-9508.94,-5.1,12,stop_loss
POONAWALLA,2024-03-13,2024-03-13,478.0,451.09,393,188041.85,0.5852,451.09,-10575.63,-11118.04,-5.63,0,stop_loss
BPCL,2024-02-23,2024-03-15,277.39,259.81,646,179373.13,0.6532,259.81,-11356.68,-11871.55,-6.34,21,stop_loss
FORCEMOT,2024-03-14,2024-03-18,5872.9,7008.48,30,176363.19,0.5583,5305.11,34067.4,33470.7,19.34,4,target_hit
ADANIGREEN,2024-03-15,2024-03-18,1902.0,1755.2,96,182774.59,0.5682,1755.2,-14092.8,-14612.39,-7.72,3,stop_loss
NCC,2024-03-15,2024-03-19,230.09,219.67,752,173200.71,0.6671,205.78,-7835.84,-8339.25,-4.53,4,ema_reversal
GPPL,2024-03-18,2024-03-20,186.1,175.16,987,183864.38,0.6371,167.94,-10797.78,-11327.23,-5.88,2,ema_reversal
CHALET,2024-03-21,2024-03-27,789.23,903.43,225,177754.33,0.5991,732.13,25695.0,25110.88,14.47,6,target_hit
