date,total_value
2023-11-15,1088895.48
2023-11-16,1087720.98
2023-11-17,1085635.88
2023-11-20,1085666.48
2023-11-21,1084587.28
2023-11-22,1083204.38
2023-11-23,1083510.98
2023-11-24,1084041.98
2023-11-28,1084685.78
2023-11-29,1085758.78
2023-11-30,1086080.68
2023-12-01,1085436.88
2023-12-04,1092733.28
2023-12-05,1090801.88
2023-12-06,1090158.08
2023-12-07,1090479.98
2023-12-08,1089836.18
2023-12-11,1092304.08
2023-12-12,1091552.98
2023-12-13,1091767.58
2023-12-14,1094664.68
2023-12-15,1093698.98
2023-12-18,1095844.98
2023-12-19,1096381.48
2023-12-20,1090801.88
2023-12-21,1092518.68
2023-12-22,1092518.68
2023-12-26,1091982.18
2023-12-27,1091552.98
2023-12-28,1093404.1
2023-12-29,1097169.7
2024-01-01,1100656.6
2024-01-02,1105805.7
2024-01-03,1115330.6
2024-01-04,1116293.1
2024-01-05,1123174.6
2024-01-08,1120018.7
2024-01-09,1119329.0
2024-01-10,1116927.9
2024-01-11,1116743.8
2024-01-12,1118892.8
2024-01-15,1123862.9
2024-01-16,1119113.3
2024-01-17,1118171.7
2024-01-18,1119088.7
2024-01-19,1119572.8
2024-01-23,1134355.0
2024-01-24,1154209.4
2024-01-25,1163645.4
2024-01-29,1174645.1
2024-01-30,1169384.4
2024-01-31,1183138.13
2024-02-01,1182287.38
2024-02-02,1174543.26
2024-02-05,1176940.06
2024-02-06,1186831.06
2024-02-07,1191593.56
2024-02-08,1182507.58
2024-02-09,1177004.9
2024-02-12,1165882.79
2024-02-13,1159552.09
2024-02-14,1156379.63
2024-02-15,1152131.93
2024-02-16,1155960.58
2024-02-19,1156412.61
2024-02-20,1153298.45
2024-02-21,1143111.74
2024-02-22,1140996.25
2024-02-23,1136785.58
2024-02-26,1134367.75
2024-02-27,1133315.05
2024-02-28,1131100.75
2024-02-29,1129881.62
2024-03-01,1129881.62
2024-03-04,1129881.62
2024-03-05,1129881.62
2024-03-06,1129881.62
2024-03-07,1129881.62
2024-03-11,1129881.62
2024-03-12,1129881.62
2024-03-13,1129881.62
2024-03-14,1129881.62
2024-03-15,1130057.21
2024-03-18,1127453.41
2024-03-19,1126702.65
2024-03-20,1126702.65
2024-03-21,1126702.65
2024-03-22,1126756.64
2024-03-26,1126641.44
2024-03-27,1125871.5
2024-03-28,1125636.54
2024-04-01,1128628.86
2024-04-02,1133109.9
2024-04-03,1133209.98
2024-04-04,1132844.46
2024-04-05,1137269.82
2024-04-08,1135648.38
2024-04-09,1134782.22
2024-04-10,1135537.74
2024-04-12,1133247.42
2024-04-15,1131140.7
2024-04-16,1129145.34
2024-04-18,1128327.9
2024-04-19,1127581.02
2024-04-22,1129481.82
2024-04-23,1130526.3
2024-04-24,1130650.86
2024-04-25,1131947.1
2024-04-26,1132651.5
2024-04-29,1132125.66
2024-04-30,1131550.71
2024-05-02,1132150.71
2024-05-03,1131881.91
2024-05-06,1128829.11
2024-05-07,1127470.71
2024-05-08,1126125.92
2024-05-09,1126125.92
2024-05-10,1126125.92
2024-05-13,1126125.92
2024-05-14,1126125.92
2024-05-15,1126125.92
2024-05-16,1126125.92
2024-05-17,1126125.92
2024-05-21,1126125.92
2024-05-22,1126125.92
2024-05-23,1126125.92
2024-05-24,1126125.92
2024-05-27,1126125.92
2024-05-28,1126125.92
2024-05-29,1126125.92
2024-05-30,1126125.92
2024-05-31,1126125.92
2024-06-03,1126125.92
2024-06-04,1126125.92
2024-06-05,1126125.92
2024-06-06,1126125.92
2024-06-07,1126125.92
2024-06-10,1126125.92
2024-06-11,1126125.92
2024-06-12,1126125.92
2024-06-13,1126125.92
2024-06-14,1126125.92
2024-06-18,1126125.92
2024-06-19,1126125.92
2024-06-20,1126125.92
2024-06-21,1126125.92
2024-06-24,1126125.92
2024-06-25,1126125.92
2024-06-26,1126125.92
2024-06-27,1126125.92
2024-06-28,1126125.92
2024-07-01,1126125.92
2024-07-02,1126125.92
2024-07-03,1126125.92
2024-07-04,1126125.92
2024-07-05,1126125.92
2024-07-08,1125812.95
2024-07-09,1125655.51
2024-07-10,1124008.95
2024-07-11,1124323.83
2024-07-12,1123954.52
2024-07-15,1123954.52
2024-07-16,1123954.52
2024-07-18,1123954.52
2024-07-19,1123954.52
2024-07-22,1123954.52
2024-07-23,1123954.52
2024-07-24,1123954.52
2024-07-25,1123954.52
2024-07-26,1123954.52
2024-07-29,1123954.52
2024-07-30,1123954.52
2024-07-31,1123954.52
2024-08-01,1123954.52
2024-08-02,1123954.52
2024-08-05,1123954.52
2024-08-06,1123954.52
2024-08-07,1123954.52
2024-08-08,1123028.86
2024-08-09,1122805.14
2024-08-12,1123279.95
2024-08-13,1119425.43
2024-08-14,1119456.61
2024-08-16,1119456.61
2024-08-19,1119456.61
2024-08-20,1119456.61
2024-08-21,1119270.25
2024-08-22,1119881.96
2024-08-23,1120379.99
2024-08-26,1119432.0
2024-08-27,1120529.82
2024-08-28,1119070.93
2024-08-29,1117794.64
2024-08-30,1116922.6
2024-09-02,1116363.64
2024-09-03,1116232.12
2024-09-04,1116347.2
2024-09-05,1116355.42
2024-09-06,1114892.26
2024-09-09,1114921.22
2024-09-10,1114921.22
2024-09-11,1114921.22
2024-09-12,1114921.22
2024-09-13,1114921.22
2024-09-16,1114921.22
2024-09-17,1114921.22
2024-09-18,1114921.22
2024-09-19,1114921.22
2024-09-20,1114921.22
2024-09-23,1114921.22
2024-09-24,1114869.72
2024-09-25,1114900.44
2024-09-26,1115462.36
2024-09-27,1117437.4
2024-09-30,1117758.68
2024-10-01,1118296.28
2024-10-03,1114629.84
2024-10-04,1113098.89
2024-10-07,1111123.14
2024-10-08,1111123.14
